Cover Image,Secret Image,PSNR,MSE,NCC,SHA
airplane.tiff,splash.tiff,59.53415611135402,0.0723876953125,0.8207077383995056,False
Barbara.tif,splash.tiff,61.20761326087703,0.0492401123046875,0.8315373659133911,False
elaine.tiff,splash.tiff,61.149793371584416,0.049900054931640625,0.8098896741867065,False
fishingboat.tiff,splash.tiff,60.74798647227944,0.054737091064453125,0.7892055511474609,False
Goldhill.tif,splash.tiff,61.51282459572003,0.0458984375,0.79510498046875,False
house.tiff,splash.tiff,60.280163313150794,0.060962677001953125,0.7746260166168213,False
lena.tiff,splash.tiff,60.40253117082014,0.059268951416015625,0.8177482485771179,False
peeper.tiff,splash.tiff,61.35440498104772,0.047603607177734375,0.809043824672699,False
sailboat.tiff,splash.tiff,61.061715497593084,0.050922393798828125,0.8068603277206421,False
tank.tiff,splash.tiff,61.377085417701934,0.04735565185546875,0.7849586606025696,False
