Cover Image,Secret Image,PSNR,MSE,NCC,SHA
airplane.tiff,splash.tiff,59.53415611135402,0.0723876953125,0.8273090124130249,False
Barbara.tif,splash.tiff,61.20761326087703,0.0492401123046875,0.7747851610183716,False
elaine.tiff,splash.tiff,61.149793371584416,0.049900054931640625,0.7806079983711243,False
fishingboat.tiff,splash.tiff,60.74798647227944,0.054737091064453125,0.7693036794662476,False
Goldhill.tif,splash.tiff,61.51282459572003,0.0458984375,0.7717545628547668,False
house.tiff,splash.tiff,60.280163313150794,0.060962677001953125,0.7776811122894287,False
lena.tiff,splash.tiff,60.40253117082014,0.059268951416015625,0.7884047031402588,False
peeper.tiff,splash.tiff,61.35440498104772,0.047603607177734375,0.7536484003067017,False
sailboat.tiff,splash.tiff,61.061715497593084,0.050922393798828125,0.7522420883178711,False
tank.tiff,splash.tiff,61.377085417701934,0.04735565185546875,0.7980459332466125,False
